가수,ID
Blur,7MhMgCo0Bl0Kukl93PZbYS
Oasis,2DaxqgrOhkeH0fpeiQq2f4
Seo Taiji and Boys,52Gsa9Zypqztm2DeNkQfCm
Seotaiji,3yj6KT6cRFojlL37psQ1dV
SPYAIR,7gRg6C2qgQ1F01k3sgyEVt
m.o.v.e,13Y7h239f3l2knkpG5O7Uo
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
Unlucky Morpheus,3NyKjyguig68xw6kSpeDiW
DragonForce,2pH3wEn4eYlMMIIQyKPbVR
Daughtry,5P5FTygHyx2G57oszR3Wot
All Time Low,46gyXjRIvN1NL1eCB8GBxo
DEUX,64RfnYDHtR3ZaLdtxAjPDA
Sum 41,0qT79UgT5tY4yudH9VfsdT
10-FEET,0QZqdhoRQkn1VphAa5eX8h
Vaundy,2IUl3m1H1EQ7QfNbNWvgru
Paramore,74XFHRwlV6OrjEM0A2NCMF
Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX
Yellowcard,3zxKH0qp3nBCuPZCZT5Vaf
ONE OK ROCK,7k73EtZwoPs516ZxE72KsO
Muse,12Chz98pHFMPJEknJQMWvI
TRiDENT,7rZdMuqbboWedMFTA5hsrh
I WiSH,4XdblOIqVvdJSX3e1zKRyZ
OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj
Every Little Thing,7dZHl3ZmH21XpCwvcMlnml
Bon Jovi,58lV9VcRSjABbAbfWS6skp
LOVEBITES,4H1S8RTYv4vN3SiM5uSZSa
